created_at,id,title,url,num_points,num_comments,author,hours
2016-02-28 01:24:00,11189320,"Ask HN: teaching basic coding and web design offline, solely via iOS devices?",,32,33,benbreen,1
2016-01-13 09:12:00,10893151,Ask HN: Please validate my business idea,,1,5,springboard,9
2016-05-06 01:14:00,11641004,Ask HN: Where do you want your tax dollars spent?,,1,4,lollinghard,1
2016-06-23 13:59:00,11960858,Ask HN: How to handle staging environments?,,8,7,fabianlindfors,13
2016-04-30 17:21:00,11602552,"Ask HN: Question from a luddite re: cookies/web tracking, particularly by Criteo",,3,11,corvallis,17
2015-10-20 19:21:00,10421168,Ask HN: Tax implications of becoming a full time remote employee,,1,1,gearoidoc,19
2015-10-25 15:09:00,10447059,Ask HN: Getting Clients That Are Clients of Another Agency,,6,9,hanniabu,15
2016-05-04 14:14:00,11628475,Ask HN: Why did Andrej Karpathy take down the Stanford CS231n videos?,,3,2,max_,14
2015-12-23 20:48:00,10785546,Ask HN: Things you created in 2015?,,26,37,thecosas,20
2016-06-01 16:19:00,11815678,Ask HN: Has TeamViewer has been compromised?,,3,1,joenathan,16
2016-07-10 22:19:00,12067533,Ask HN: Imagine it's 1993  what would you put in an MVP web browser?,,3,2,hoodoof,22
2016-06-21 23:40:00,11950382,Ask HN: What was the name of this contact app?,,1,4,l1n,23
2016-04-24 19:36:00,11561001,Ask HN: What are the components needed to make a web API?,,2,1,aryamaan,19
2016-05-20 01:26:00,11735075,Ask HN: Any coding bootcamps that you recommend?,,1,1,soneca,1
2016-06-24 17:02:00,11971491,Ask HN: What is your go-to example for a good REST API?,,401,182,goostavos,17
2016-07-12 19:34:00,12081722,Ask HN: How to not be bored doing a similar project in my company?,,1,5,randy_gilette,19
2015-10-16 16:36:00,10400446,Ask HN: What books will stay relevant for many years to come?,,12,9,shubhamjain,16
2016-03-15 22:15:00,11293443,"Ask HN: Welp, I seem to fail at marketing: Looking for feedback on iOS app pitch",,10,8,anon_app_guy,22
2015-11-24 01:05:00,10618506,"Ask HN: If Evernote goes out of business, what happens to all our notes?",,20,24,alexgpark,1
2016-05-30 08:14:00,11800205,Ask HN: My Show HN post won't show. Could it be?,,6,5,keywonc,8
2016-01-11 04:53:00,10878886,Ask HN: Can anyone suggest a good RSS newsreader with a set of tech news feeds?,,3,3,hoodoof,4
2016-08-28 20:38:00,12378410,Ask HN: Where Do You Live?,,4,4,rokhayakebe,20
2016-03-25 12:52:00,11359726,Ask HN: Do you flag HN posts in the absence of a downvote button?,,6,7,mangeletti,12
2016-04-14 00:58:00,11493595,Ask HN: Dealing with 'global' burnout,,1,10,throwawaynym,0
2015-12-31 14:18:00,10817615,Ask HN: What charitable organizations do you donate to?,,2,3,donations-2015,14
2016-02-26 10:23:00,11180706,Ask HN: Someone is stealing things from my car. What security camera would help?,,3,3,hoodoof,10
2016-04-01 16:24:00,11406046,Ask HN: Is perl still relevant today?,,4,4,enitihas,16
2016-06-22 21:15:00,11957086,Ask HN: Server Management Software,,1,3,FlopV,21
2015-10-13 17:07:00,10381833,Ask HN: Experience with Windows 10 upgrade,,4,20,codegeek,17
2016-03-03 10:40:00,11216055,Ask HN: Creative ideas to activate communities?,,3,1,sameernoorani,10
2016-04-03 16:57:00,11416746,Ask HN: How do you review code?,,357,140,skewart,16
2016-03-14 13:42:00,11282812,Ask HN: Engineering Degree: Mathematics and Statistics vs Software?,,4,5,noobie,13
2016-05-02 13:12:00,11611005,Ask HN: Where's Who's Hiring for May 2016?,,2,3,martinshen,13
2016-09-21 02:36:00,12545014,Ask HN: Settle for less salary or change to make more in prime years,,19,30,throwaway007007,2
2015-10-22 16:46:00,10433234,Ask HN: Is it illegal to use another site mp4 link in my app?,,1,2,lesvizit,16
2016-06-12 19:28:00,11889827,Ask HN: What is a good text-based role-playing game to get into as a newbie?,,2,2,hellofunk,19
2015-12-23 14:40:00,10783488,Ask HN: How to create a remote development environment?,,5,5,MuEta,14
2016-03-04 14:13:00,11223769,Ask HN: Recommend 3 books that had an impact on you,,1,1,have_faith,14
2016-08-18 14:33:00,12312759,Ask HN: How do you come up with progressive project ideas?,,25,17,kanso,14
2015-12-31 06:14:00,10816484,"Ask HN: What became possible or practical in 2015, which wasn't in 2014?",,12,1,jodrellblank,6
2016-08-11 17:59:00,12270366,Ask HN: Job with Travel,,2,1,aaronhoffman,17
2016-01-30 23:37:00,11004344,Ask HN: Any advice for an older engineer stuck in his career?,,6,5,whattodo123,23
2015-12-10 18:49:00,10712476,Ask HN: Feeling stuck Looking for suggestions,,4,5,throwaway5023,18
2015-12-03 05:50:00,10667994,Ask HN: Should I write a lean business plan for a social startup?,,4,2,tallerholler,5
2016-02-19 17:11:00,11134748,Ask HN: How do I evaluate different opportunities?,,5,8,abustamam,17
2016-04-19 20:04:00,11529810,Ask HN: Are There SEO Secrets That Work or Is It Just Common Sense?,,1,2,kiddz,20
2016-02-15 18:16:00,11104928,Ask HN: Open Source project ideas?,,6,6,codegeek,18
2015-11-11 14:29:00,10546797,Ask HN: How do you find time to learn new things?,,23,22,vijayr,14
2015-12-08 02:30:00,10694392,Ask HN: Your advise wanted for how to get into programming,,2,7,dbob,2
2015-09-29 20:46:00,10299500,"Ask HN: Scala or Elixir, What would you recommend me?",,14,12,sanosuke,20
2016-03-29 00:15:00,11378590,Ask HN: What is LLVM (from the perspective of a middling Rails developer)?,,1,1,mmanfrin,0
2015-12-15 23:26:00,10741251,Ask HN: Are there any projects or compilers which convert JavaScript to Java?,,1,2,ggonweb,23
2015-11-21 15:42:00,10607018,"Ask HN: If you build it, they will come doesn't work. How do we market our app?",,85,72,mstipetic,15
2015-11-22 17:27:00,10610697,Ask HN: Where do you want to work?,,2,2,soared,17
2016-06-15 08:52:00,11907960,Ask HN: What non-technical skills make a senior dev and how to develop them?,,212,130,poushkar,8
2015-09-15 16:52:00,10221668,Ask HN: Is your company not using React.js due to PATENT file?,,1,3,dominotw,16
2015-12-26 03:46:00,10793178,Ask HN: When to not use Tor?,,1,2,dayon,3
2015-10-16 19:37:00,10401542,Ask HN: How can I promote my opensource tool to hit broader audience?,,4,7,adnanh,19
2016-03-07 18:02:00,11240336,Ask HN: Do you need a degree/diploma for a TN-1 (or other work) Visa?,,12,15,jlos,18
2016-01-04 07:06:00,10834382,Ask HN: How does turning off my ad blocker help?,,2,2,mproud,7
2015-12-30 19:03:00,10813633,Ask HN: Facebook threatening to permanently delete my account. Who do I contact?,,7,6,auganov,19
2015-10-13 17:26:00,10381974,Ask HN: Has any African startup ever been accepted to Y Combinator?,,1,1,chirau,17
2016-02-02 12:47:00,11019096,"Ask HN: 1 book,1 article and 1 research paper you suggest?",,2,1,jharohit,12
2015-11-13 16:57:00,10560835,"Ask HN: Broken tests, huge (250 commit) pull requests, growing team, what to do?",,6,10,RomanPushkin,16
2016-04-11 14:17:00,11471630,Ask HN: What are the resources you would suggest for Machine learning?,,6,2,aryamaan,14
2015-10-30 02:34:00,10475833,Ask HN: Client is bullying for refund since beginning,,5,15,codegeek,2
2016-05-08 08:30:00,11653215,Ask HN: How do you like the trend of auto-playing videos on mainstream sites?,,6,8,hellofunk,8
2015-10-30 21:12:00,10480565,Ask HN: How do I become a Data Engineer,,7,2,josep2,21
2016-09-24 14:03:00,12570947,"Ask HN: If you've successfully outsourced software dev work, how did you do it?",,3,1,Mattasher,14
2016-08-20 23:49:00,12328822,Ask HN: How to optimize Nginx for static content?,,3,1,ffggvv,23
2015-12-30 15:30:00,10812406,Ask HN: How do you find new podcasts?,,3,1,samsolomon,15
2016-08-16 18:05:00,12299289,Ask HN: Human-Realistic Robots?,,1,6,poppup,18
2016-08-09 01:30:00,12251964,"Ask HN: If you found an easy way to factor large numbers, would you tell anyone?",,43,43,c0nrad,1
2016-04-22 22:31:00,11552995,Ask HN: How do you harmonize user data?,,25,19,hackerews,22
2016-01-21 14:38:00,10945426,Ask HN: How do you talk to customers?,,17,5,magic_man,14
2016-06-30 21:22:00,12011850,Ask HN: What are your favorite personal finance books?,https://www.everwealth.io/blog/best-personal-finance-books/,2,1,alexkehr,21
2016-01-03 19:37:00,10831940,Ask HN: What are you currently building?,,145,234,philippnagel,19
2015-10-10 17:12:00,10366137,Ask HN: 512GB flash is cheap and small. Why does high-end phones have 64GB?,,1,5,canow,17
2015-12-28 18:47:00,10802626,Ask HN: Copyright infringement alert from ISP,,4,6,yeukhon,18
2016-03-03 16:38:00,11217968,"Ask HN: Don't understand vesting/ownership offer, how do I make money off it?",,7,9,giltleaf,16
2016-01-22 14:44:00,10952949,"Ask HN: Stock for cloud space, would you do it?",,3,1,sharemywin,14
2016-05-27 06:27:00,11784275,Ask HN: Feedback on betting app idea,,1,1,DanPir,6
2016-06-23 10:57:00,11960077,"Ask HN: UK Entrepreneurs, how does a brexit/remain vote affect your start up?",,12,19,harel,10
2016-04-13 07:06:00,11486312,Ask HN: Why do Young programmers think they know more than Old programmers,,7,3,ianpurton,7
2015-09-25 18:32:00,10279840,Ask HN: Creating and Licensing Product For/From Employer,,2,1,tawaycreation,18
2016-09-10 21:18:00,12470921,Ask HN: My game is growing fast. What should I do?,,26,25,m0dE,21
2016-06-15 18:33:00,11911071,Ask HN: Is the G2 Crowd business software review website a scam?,,7,7,elbigbad,18
2016-09-07 21:16:00,12447787,Ask HN: How to buy Vested stock when leaving start up?,,9,7,davidcoronado,21
2015-12-16 10:01:00,10743315,Ask HN: What is a way of making residual income with $5K a month?,,105,71,hanyoon,10
2016-07-11 19:22:00,12073594,Ask HN: How to fake laptop connection via USB,,2,3,pizu,19
2016-06-21 16:44:00,11947074,Ask HN: Is it practical to start a 1-person Micro ISV these days?,,13,17,augb,16
2016-03-18 15:16:00,11312315,Ask HN: A bite-sized problem in your company that I could turn into a tiny SaaS?,,23,2,borplk,15
2015-12-01 15:01:00,10655757,Ask HN: Starting Over,,5,5,marktangotango,15
2015-12-28 11:42:00,10800717,Ask HN: Product Pricing,,2,2,vital101,11
2015-10-19 00:48:00,10410498,Ask HN: Low marks vs. Side projects?,,2,3,meturtle,0
2016-09-19 00:16:00,12527922,Ask HN: Where do you go to get recruiters to find you a job?,,89,61,nicholas73,0
2016-03-03 18:51:00,11218994,Ask HN: Thoughts on McKinsey Job?,,3,2,mcthrowaway,18
2015-11-05 12:44:00,10512959,Ask HN: Did your Show HN go on to become very successful?,,14,17,jjoe,12
2015-10-19 05:27:00,10411282,Ask HN: Is there some database/shop for recipes and pictures of the results?,,1,2,wingerlang,5
2016-02-21 19:54:00,11146156,Ask HN: Does Dart programming language need mvvm frameworks?,,3,3,basicscholar,19
2016-07-18 16:59:00,12116344,Ask HN: Is there a relation between Software and Art?,,1,2,tamersalama,16
2016-08-29 00:07:00,12379186,Ask HN: Real time one way replication on Linux?,,1,1,Manozco,0
2016-04-12 03:38:00,11477068,Ask HN: What would you ask target audience to build a recruiting website?,,3,5,henryzhang0304,3
2016-02-20 21:53:00,11142125,Ask HN: Is there a benefit is working as fast as you can?,,2,1,TacoWednesdays,21
2016-06-15 19:27:00,11911474,Ask HN: Migrating from Mac to Windows for development,,13,13,kuon,19
2016-02-11 10:48:00,11079401,Ask HN: Doing cold emails? helps us prove this concept for closing more leads,,8,12,going_to_800,10
2015-09-13 10:21:00,10210881,Ask HN: Any tips on finding relevant Shopify/Magento store owners?,,1,1,dmagriso,10
2016-08-26 14:28:00,12366498,Ask HN: Whats the best video talk you have ever seen?,,1,1,ThomPete,14
2016-09-16 19:28:00,12516611,Ask HN: Is it possible for someone to not be cut out for software engineering?,,182,185,conflicted_dev,19
2016-01-29 23:32:00,10999402,Ask HN: Why is the design of hackernews that terrible?,,5,7,nikobellic,23
2016-05-19 15:59:00,11731171,Ask HN: How do I backup logical partition table with dd command?,,1,2,giis,15
2015-11-26 22:51:00,10635098,Ask HN: Is there space for one more web chat between IRC and Slack?,,6,4,jampa-uchoa,22
2015-11-09 11:28:00,10532419,Ask HN: Where can I get interesting data sets online?,,2,2,J-dawg,11
2016-04-21 20:41:00,11545194,Ask HN: Are your tickets highly nested?,,1,2,virgil_disgr4ce,20
2016-08-22 14:38:00,12336599,Ask HN: PhantomJS or Protractor?,,2,1,alistproducer2,14
2016-08-23 13:13:00,12343421,"Ask HN: I don't need money, so what's the benefit to Y Combinator?",,1,2,forgottenacc56,13
2015-11-20 06:14:00,10599898,"Ask HN: Best way to make a service like Uber, but for logistics?",,1,2,itsashis4u,6
2016-05-11 21:08:00,11679297,Ask HN: Android AudioRecord forcing VOICE_CALL to MIC audio source,,1,2,NLL_APPS,21
2016-01-16 21:25:00,10916911,"Ask HN: Your favorite resources to improve critical thinking, imagination?",,3,1,vijayr,21
2015-10-13 10:42:00,10379517,Ask HN: How did you find your last job?,,11,22,yarper,10
2015-12-14 04:35:00,10729437,Ask HN: Good programmable robot kit for teens?,,51,37,fenier,4
2016-09-13 11:47:00,12487180,"Ask HN: Would you be interested in an embeddable, lightweight subset of Python?",,5,8,parnor,11
2015-11-13 15:12:00,10560213,Ask HN: What is this black bar?,,3,1,shade23,15
2016-03-16 13:20:00,11297015,Ask HN: What books do you wish your manager would read?,,50,55,a3n,13
2015-11-24 22:27:00,10624019,Ask HN: How to value small side projects? Can you sell them?,,9,9,vonklaus,22
2016-09-04 12:26:00,12423976,Ask HN: Why should open source support be free? I don't think it should.,,2,3,hoodoof,12
2016-02-04 18:44:00,11036156,Ask HN: Palantir Software Engineering,,30,20,turd_ferguson,18
2016-03-14 16:57:00,11283909,Ask HN: Ever built any integrations between a SaaS product and other products?,,5,6,carmenapostu,16
2015-10-04 15:50:00,10327827,"Ask HN: What happened to the monthly Best Laptop"" threads",,6,8,o_s_m,15
2016-04-13 06:01:00,11486063,Ask HN: KYC regs and SVB,,2,3,danieltillett,6
2016-03-21 12:44:00,11327648,Ask HN: How do you find unused CSS?,,12,10,tmaly,12
2016-03-17 03:39:00,11302432,Ask HN: Did Comcast just screw me over?,,10,11,dan-silver,3
2016-05-31 02:41:00,11804249,Ask HN: Has Dropbox been compromised recently?,,2,1,alrtd82,2
2015-10-01 02:02:00,10308774,Ask HN: Declarative database migrations?,,11,8,beefsack,2
2015-11-17 00:07:00,10578278,Ask HN: Want to help make PGP-encrypting all chats effortless?,,5,2,55555,0
2016-09-08 12:58:00,12452499,Ask HN: What happened to Facebook graph search?,,114,35,_kyran,12
2016-06-24 14:29:00,11970005,Ask HN: Are there any tools to encrypt and store data on Amazon Cloud Drive?,,1,4,codezero,14
2016-02-11 17:40:00,11081598,Ask HN: Any drawbacks to Sublime Text 3 update?,,7,10,hanniabu,17
2016-02-08 22:09:00,11061236,Ask HN: Do You Want a Fastlane-centric CI Service?,,1,3,mskierkowski,22
2015-09-19 12:54:00,10244144,"Ask HN: Can this way we support publishers and readers, and also get rid of ads?",,1,8,techaddict009,12
2016-04-26 19:42:00,11574947,Ask HN: What is the delay field for?,,2,1,daveloyall,19
2016-01-01 17:05:00,10822376,Ask HN: Courses  like Coursera or Udemy but without the videos?,,108,55,rgovind,17
2016-03-11 16:48:00,11267694,Ask HN: Is Silicon Valley slowing down?,,4,8,ceallaigh49364,16
2016-06-05 11:08:00,11840415,Ask HN: How to know when you're intermediate level?,,19,5,curiousgal,11
2015-12-17 15:33:00,10752020,Ask HN: What search engine do you use?,,1,1,zingplex,15
2016-04-13 18:20:00,11490811,Ask HN: How do I learn JavaScript after using it for years,,1,4,Zyst,18
2016-04-01 13:56:00,11404760,Ask HN: Do you have a personal copy of CV?,,3,4,mapcars,13
2016-08-14 19:15:00,12286883,Ask HN: Ever launched a failed desktop app?,,9,3,vram22,19
2015-10-17 22:15:00,10406370,Ask HN: Freelancers outside US and EU. How do you find quality clients?,,2,1,maouida,22
2015-11-13 19:07:00,10561740,Ask HN: Are unicode symbols allowed in domain names?,,1,2,shade23,19
2016-08-12 18:23:00,12277688,Ask HN: Why no regex AND?,,3,11,_acme,18
2016-05-07 10:30:00,11649068,Ask HN: Any free/open source simple employee time tracking software?,,2,1,techaddict009,10
2015-12-15 08:30:00,10736611,Ask HN: Where did you learn about stock market/startup economics?,,4,3,zuck9,8
2016-06-29 01:54:00,11999009,Ask HN: Examples of unreliable software you are forced to use,,5,3,vdfs,1
2016-07-15 13:34:00,12100796,Ask HN: Military to tech jobs,,10,20,boniface316,13
2016-04-08 19:49:00,11457376,Ask HN: Setting to ignore /node_modules with find and grep,,2,1,ereckers,19
2016-01-28 06:20:00,10986660,"Ask HN: SSL is free now, why domain names are not",,5,9,tuyguntn,6
2016-08-23 17:58:00,12345855,"Ask HN: Outside of SV, is age discrimination in IT common?",,10,5,04rob,17
2016-06-01 15:01:00,11814830,Ask HN: Who wants to be hired? (June 2016),,137,250,whoishiring,15
2016-03-13 22:09:00,11279592,Ask HN: Is meteor.js still a thing?,,6,11,adius,22
2015-12-01 15:00:00,10655741,Ask HN: Freelancer? Seeking freelancer? (December 2015),,41,93,whoishiring,15
2016-07-04 19:40:00,12032582,Ask HN: Alternatives to Evernote,,8,5,Kevin_S,19
2015-09-20 12:41:00,10247305,Ask HN: Which PEPs are must reads for a beginner?,,2,2,taurus,12
2016-05-13 01:14:00,11687974,Ask HN: Where do you find technical interns?,,1,1,aml183,1
2016-01-27 20:31:00,10983015,Ask HN: What is the vi/m equivalent of the Emacs Org Mode,,1,4,CarolineW,20
2016-02-04 08:03:00,11032625,Ask HN: How would you monetize a webcomics publishing platform?,,5,4,rayalez,8
2016-06-22 16:55:00,11955334,Ask HN: Dedicated servers and/or VPS for SaaS?,,1,2,startupdude69,16
2016-06-18 16:35:00,11929290,Ask HN: Can you help me learn about climate change?,,1,2,dsacco,16
2016-03-17 13:43:00,11304255,Ask HN: Who else uses adblockers for safety?,,128,92,julie1,13
2016-08-27 11:44:00,12371937,Ask HN: What non-technical skills do you wish you were better at?,,5,4,AdamSC1,11
2016-05-15 16:13:00,11701440,Ask HN: How do you use Amazon Echo?,,80,112,trapped,16
2016-05-05 04:51:00,11634068,"Ask HN: Math from square one, after ~11 years of programming",,6,4,vldx,4
2016-05-05 13:13:00,11635751,Ask HN: Best encrypted messaging app with mobile and native clients?,,13,16,mellamoyo,13
2016-07-14 00:31:00,12090884,Ask HN Staff: Could you build emoji support?,,3,4,maxsavin,0
2016-02-22 01:52:00,11147843,Ask HN: Facebook Account Disabled,,2,3,OafTobark,1
2016-01-07 12:06:00,10857463,Ask HN: Anyone interested in starting an IT consultancy?,,5,4,tixocloud,12
2016-05-07 02:33:00,11648097,Ask HN: How can you work at a desk all day?,,3,4,reedlaw,2
2016-04-13 02:53:00,11485365,Ask HN: How to work fewer hours?,,4,4,ChimChimminy,2
2016-06-21 21:59:00,11949765,Ask HN: What's a small problem that bugs you in your every day life?,,5,9,jameshk,21
2015-09-19 18:22:00,10245096,"Ask HN: Start date is set, but I got another offer. What to do?",,3,11,tonym9428,18
2016-05-26 00:05:00,11774179,Ask HN: What did you pay for firstnamelastname.com,,14,43,the_cat_kittles,0
2015-11-14 22:02:00,10567455,Ask HN: iOS MVVM tutorial using Swift,,3,3,drew22huthut,22
2016-07-27 07:38:00,12171168,Ask HN: Any visualizations of electrons running thru circuits as  code?,,1,1,vtempest,7
2016-03-26 19:54:00,11367164,Ask HN: What's happening at Google to justify the mismanagement of Chrome?,,4,3,soroso,19
2016-05-11 16:50:00,11676942,Ask HN: How do you read Hacker News on mobile in 2016?,,1,5,kokonotu,16
2016-01-04 08:21:00,10834521,Ask HN: Device for child internet monitoring?,,1,2,evolve2k,8
2016-07-13 22:50:00,12090337,Ask HN: How do you differently interview Bootcampers from Collegiate candidates?,,1,1,probinso,22
2016-05-16 04:18:00,11704219,Ask HN: Statistical Comparison of Startup Survival in Recession,,1,1,lsiebert,4
2015-11-04 10:45:00,10505683,Ask HN: encrypted cloud file storage for iOS/Android?,,6,3,msh,10
2016-01-17 15:48:00,10919770,Ask HN: Why is it that more experienced candidates get paid more?,,5,3,pinkunicorn,15
2016-04-02 08:56:00,11410805,Ask HN: What are the podcasts you guys listen to?,,27,29,kyloren,8
2015-10-31 07:10:00,10482069,Ask HN: What happened to Express.js?,,14,11,MehdiHK,7
2016-03-15 14:00:00,11289629,Ask HN: Sorry I'm new but how do I,,2,3,andrewfromx,14
2016-03-26 15:23:00,11365966,Ask HN: What's the best formal language?,,9,6,miguelrochefort,15
2015-09-11 15:03:00,10204052,Ask HN: How do I clear my mind and regain focus?,,4,3,zieseil,15
2016-05-17 04:47:00,11711393,Ask HN: Are there only 2 reverse-CDN (CRN) in the entire world?,,2,3,diegorbaquero,4
2016-04-18 13:22:00,11519670,Ask HN: After working for myself what job positions am I suitable for?,,10,15,FlyingSquirrel,13
2016-01-28 23:14:00,10992287,Ask HN: How do you transition your projects to use newer technology?,,2,1,antjanus,23
2016-02-01 21:29:00,11015617,Ask HN: Share your terminal customization,,2,1,yeukhon,21
2015-12-21 07:36:00,10770054,Ask HN: How did the YC Fellowships worked for anyone involved?,,15,2,imrehg,7
2016-07-28 13:54:00,12180179,Ask HN: Bootstrapping with 2 founders,,7,5,MuEta,13
2015-12-10 17:10:00,10711752,Ask HN: Looking for beta testers for receiving cooking help via text,,5,9,palidanx,17
2016-07-13 03:25:00,12083711,Ask HN: What's up with retro sound chip programming?,,2,1,jzelinskie,3
2016-02-03 19:55:00,11029224,Ask HN: Help me design a personal project,,1,2,_em_,19
2016-06-13 21:27:00,11897822,Ask HN: How do I keep learning while I am having a job?,,12,7,aryamaan,21
2016-09-21 04:02:00,12545289,Ask HN: How to solve chicken and egg problem?,,3,1,baj84,4
2016-01-12 21:45:00,10890647,Ask HN: How do I evaluate a recruitment agency?,,3,1,tyurok,21
2016-07-14 19:28:00,12096559,"Ask HN: I've been a java dev for a couple of years, should I move langauge?",,3,5,eecks,19
2016-06-18 14:13:00,11928690,Ask HN: Is there a good book on IT/Silicon Valley history?,,10,11,sebst,14
2016-05-13 16:30:00,11691342,Ask HN: Using AngularJS 1.x in production?,,4,13,64bitbrain,16
2016-09-19 15:31:00,12532176,Ask HN: Does the film industry use stock options for compensation?,,1,2,spoonie,15
2016-05-09 23:02:00,11663939,Ask HN: Dropcam without the camera,,3,2,thrwawy20160421,23
2016-08-17 21:38:00,12308695,Ask HN: HN for China?,,3,3,questionsforhn,21
2016-07-01 15:03:00,12016606,Ask HN: Best way to book an international flights?,,2,2,hartator,15
2016-05-22 20:44:00,11750209,Ask HN: How does Elon Musk innovate in disparate fields?,,2,1,LeicesterCity,20
2015-09-28 16:51:00,10291415,Ask HN: How to handle being sick?,,2,3,maratd,16
2015-09-23 19:38:00,10267569,Ask HN: Laptop bag for 15 Macbook Pro for inclement weather,,3,5,tmaly,19
2016-07-23 08:37:00,12148833,Ask HN: Managing Twitter lists,,5,1,mvdwoord,8
2016-03-05 17:53:00,11230183,Ask HN: Things New Developers Struggle with Most?,,2,2,jjensen90,17
2016-04-21 00:33:00,11538811,Ask HN: Our lead architect says 4GB is enough for a developer machine,,14,32,insamniac,0
2015-10-20 18:13:00,10420779,Ask HN: Best Linux/dev laptop as of October 2015?,,15,28,sashazykov,18
2016-06-29 17:36:00,12003186,"Ask HN: Should I learn how to program, or come up with an idea first?",,3,5,LeicesterCity,17
2016-01-11 23:52:00,10884571,Ask HN: Where to ask for outside advice as a young startup member?,,5,2,Spectral,23
2015-10-10 23:53:00,10367465,Ask HN: Switching from Applied Math to CS (Machine Learning),,2,1,moka_crazy15,23
2016-02-08 04:33:00,11056341,Ask HN: Should I continue working a Ruby gem for Visa API?,,2,2,nambante,4
2015-10-03 06:44:00,10322883,"Ask HN: What is your favorite data structure, what have you done with it?",,16,6,semicolondev,6
2016-08-07 14:20:00,12242149,"Ask HN: OkCupid, Online Dating, Machine Learning, the Future, Etc.",,8,10,baccheion,14
2015-11-04 19:59:00,10509187,Ask HN: What determines lifespan of a post on HN homepage?,,7,3,zeeshanm,19
2016-01-26 21:39:00,10976311,Ask HN: Weather forecast in your email daily,,3,3,kayman,21
2016-02-29 07:55:00,11194164,Ask HN: Leap year bugs?,,1,2,backslash_16,7
2016-05-10 20:12:00,11670272,Ask HN: Research papers sources,,2,1,selmat,20
2016-02-29 16:14:00,11196274,Ask HNs: Why do people expect so much from a free apps?,,3,2,samfisher83,16
